fecha ;PM10;PM2,5
1/12/2023 1:00;10.15;6.36
1/12/2023 2:00;11.9;6.97
1/12/2023 3:00;17.26;9.35
1/12/2023 4:00;21.73;14.35
1/12/2023 5:00;33.71;21.07
1/12/2023 6:00;30.66;14.52
1/12/2023 7:00;33.44;13.33
1/12/2023 8:00;28.86;14.09
1/12/2023 9:00;11.32;5.9
1/12/2023 10:00;6.81;3.8
1/12/2023 11:00;4.01;1.85
1/12/2023 12:00;3.87;1.82
1/12/2023 13:00;4.21;2.37
1/12/2023 14:00;4.66;2.48
1/12/2023 15:00;4.8;2.33
1/12/2023 16:00;8.06;3.11
1/12/2023 17:00;8.82;3.2
1/12/2023 18:00;7.94;2.97
1/12/2023 19:00;7.13;2.95
1/12/2023 20:00;5.67;2.61
1/12/2023 21:00;10.13;4.51
1/12/2023 22:00;9.99;3.97
1/12/2023 23:00;11.41;4.2
2/12/2023 0:00;8.0;3.47
2/12/2023 1:00;10.71;3.96
2/12/2023 2:00;14.61;6.65
2/12/2023 3:00;17.38;8.63
2/12/2023 4:00;24.27;13.01
2/12/2023 5:00;26.99;15.45
2/12/2023 6:00;29.67;12.6
2/12/2023 7:00;48.55;24.25
2/12/2023 8:00;18.43;8.87
2/12/2023 9:00;9.13;4.5
2/12/2023 10:00;8.31;4.51
2/12/2023 11:00;7.54;4.02
2/12/2023 12:00;4.72;2.57
2/12/2023 13:00;5.43;3.04
2/12/2023 14:00;5.6;3.32
2/12/2023 15:00;5.58;3.09
2/12/2023 16:00;6.98;3.19
2/12/2023 17:00;7.99;3.91
2/12/2023 18:00;7.95;4.03
2/12/2023 19:00;11.38;5.83
2/12/2023 20:00;11.27;6.03
2/12/2023 21:00;10.08;5.49
2/12/2023 22:00;9.74;5.25
2/12/2023 23:00;12.41;5.86
3/12/2023 0:00;14.7;6.96
3/12/2023 1:00;17.5;8.61
3/12/2023 2:00;15.89;8.64
3/12/2023 3:00;20.0;10.32
3/12/2023 4:00;18.35;9.82
3/12/2023 5:00;26.7;15.95
3/12/2023 6:00;25.25;16.02
3/12/2023 7:00;20.97;13.08
3/12/2023 8:00;22.49;13.65
3/12/2023 9:00;18.28;13.02
3/12/2023 10:00;16.6;12.51
3/12/2023 11:00;11.42;8.32
3/12/2023 12:00;7.52;5.3
3/12/2023 13:00;7.29;4.73
3/12/2023 14:00;6.66;4.19
3/12/2023 15:00;6.68;4.26
3/12/2023 16:00;6.7;3.77
3/12/2023 17:00;7.12;3.61
3/12/2023 18:00;7.05;3.56
3/12/2023 19:00;9.87;4.97
3/12/2023 20:00;8.45;4.53
3/12/2023 21:00;8.93;4.79
3/12/2023 22:00;9.55;5.09
3/12/2023 23:00;10.56;5.33
4/12/2023 0:00;11.47;6.58
4/12/2023 1:00;13.11;7.4
4/12/2023 2:00;16.13;7.66
4/12/2023 3:00;11.06;6.74
4/12/2023 4:00;13.16;7.81
4/12/2023 5:00;15.81;7.48
4/12/2023 6:00;22.3;10.1
4/12/2023 7:00;27.47;13.5
4/12/2023 8:00;19.25;11.07
4/12/2023 9:00;9.74;4.49
4/12/2023 10:00;5.62;2.96
4/12/2023 11:00;4.77;2.57
4/12/2023 12:00;5.28;2.84
4/12/2023 13:00;4.99;2.77
4/12/2023 14:00;4.43;2.38
4/12/2023 15:00;5.46;2.2
4/12/2023 16:00;7.06;2.76
4/12/2023 17:00;7.46;2.98
4/12/2023 18:00;7.77;3.48
4/12/2023 19:00;13.39;5.41
4/12/2023 20:00;11.33;4.76
4/12/2023 21:00;10.24;4.58
4/12/2023 22:00;16.29;5.84
4/12/2023 23:00;12.55;5.11
5/12/2023 0:00;15.01;6.25
5/12/2023 1:00;15.78;8.43
5/12/2023 2:00;18.47;9.91
5/12/2023 3:00;17.38;11.02
5/12/2023 4:00;13.22;9.61
5/12/2023 5:00;15.43;9.85
5/12/2023 6:00;12.26;8.99
5/12/2023 7:00;15.47;10.86
5/12/2023 8:00;27.45;15.84
5/12/2023 9:00;17.72;10.42
5/12/2023 10:00;4.87;2.56
5/12/2023 11:00;4.51;2.14
5/12/2023 12:00;4.49;2.16
5/12/2023 13:00;3.91;1.88
5/12/2023 14:00;4.24;1.89
5/12/2023 15:00;4.57;1.83
5/12/2023 16:00;5.77;1.86
5/12/2023 17:00;6.37;2.37
5/12/2023 18:00;6.83;2.53
5/12/2023 19:00;5.66;2.8
5/12/2023 20:00;6.29;3.29
5/12/2023 21:00;17.46;4.61
5/12/2023 22:00;9.61;3.75
5/12/2023 23:00;16.0;4.69
6/12/2023 0:00;21.24;6.4
6/12/2023 1:00;10.2;4.31
6/12/2023 2:00;11.22;5.13
6/12/2023 3:00;15.25;7.39
6/12/2023 4:00;9.87;5.17
6/12/2023 5:00;9.43;4.66
6/12/2023 6:00;18.14;6.02
6/12/2023 7:00;32.88;15.63
6/12/2023 8:00;20.89;10.83
6/12/2023 9:00;4.96;2.37
6/12/2023 10:00;4.94;2.13
6/12/2023 11:00;5.07;1.89
6/12/2023 12:00;3.72;1.55
6/12/2023 13:00;4.04;2.05
6/12/2023 14:00;4.44;1.75
6/12/2023 15:00;4.52;1.98
6/12/2023 16:00;4.11;1.51
6/12/2023 17:00;6.82;2.25
6/12/2023 18:00;7.88;2.39
6/12/2023 19:00;6.0;2.43
6/12/2023 20:00;9.92;4.12
6/12/2023 21:00;16.28;5.27
6/12/2023 22:00;8.84;4.08
6/12/2023 23:00;10.89;4.3
7/12/2023 0:00;6.98;3.44
7/12/2023 1:00;12.03;4.1
7/12/2023 2:00;16.59;6.16
7/12/2023 3:00;10.24;4.14
7/12/2023 4:00;16.16;6.15
7/12/2023 5:00;6.6;5.24
7/12/2023 6:00;11.06;8.93
7/12/2023 7:00;19.3;15.02
7/12/2023 8:00;13.16;10.37
7/12/2023 9:00;7.22;5.56
7/12/2023 10:00;7.72;6.24
7/12/2023 11:00;8.11;6.37
7/12/2023 12:00;7.47;5.87
7/12/2023 13:00;10.72;7.83
7/12/2023 14:00;10.2;7.25
7/12/2023 15:00;7.61;5.08
7/12/2023 16:00;9.0;6.28
7/12/2023 17:00;7.05;4.81
7/12/2023 18:00;8.61;5.67
7/12/2023 19:00;8.96;5.16
7/12/2023 20:00;10.22;5.74
7/12/2023 21:00;7.25;4.67
7/12/2023 22:00;7.65;4.85
7/12/2023 23:00;7.82;5.54
8/12/2023 0:00;8.72;6.33
8/12/2023 1:00;6.64;4.97
8/12/2023 2:00;6.06;4.46
8/12/2023 3:00;6.15;4.42
8/12/2023 4:00;8.08;5.77
8/12/2023 5:00;11.92;8.39
8/12/2023 6:00;11.39;7.37
8/12/2023 7:00;11.59;7.96
8/12/2023 8:00;7.68;5.06
8/12/2023 9:00;7.04;5.22
17/12/2023 7:00;7.85;5.91
17/12/2023 8:00;14.0;10.05
17/12/2023 9:00;22.49;17.61
17/12/2023 10:00;16.3;11.97
17/12/2023 11:00;10.65;6.46
17/12/2023 12:00;10.58;7.02
17/12/2023 13:00;11.29;7.29
17/12/2023 14:00;10.09;6.72
17/12/2023 15:00;15.8;9.38
17/12/2023 16:00;15.71;8.85
17/12/2023 17:00;12.63;6.4
17/12/2023 18:00;14.04;7.73
17/12/2023 19:00;11.49;5.95
17/12/2023 20:00;13.31;7.19
17/12/2023 21:00;14.41;6.98
17/12/2023 22:00;16.45;7.93
17/12/2023 23:00;10.02;5.88
18/12/2023 0:00;10.56;6.16
18/12/2023 1:00;10.21;6.65
18/12/2023 2:00;11.22;7.52
18/12/2023 3:00;8.4;5.78
18/12/2023 4:00;7.99;5.24
18/12/2023 5:00;8.13;5.24
18/12/2023 6:00;10.91;6.88
18/12/2023 7:00;16.74;10.17
18/12/2023 8:00;17.64;9.37
18/12/2023 9:00;16.93;9.77
18/12/2023 10:00;12.57;6.36
18/12/2023 11:00;11.01;6.13
18/12/2023 12:00;10.97;6.54
18/12/2023 13:00;9.97;5.8
18/12/2023 14:00;14.84;7.34
18/12/2023 15:00;14.07;7.52
18/12/2023 16:00;18.22;9.18
18/12/2023 17:00;17.46;10.66
18/12/2023 18:00;12.49;7.21
18/12/2023 19:00;22.77;10.47
18/12/2023 20:00;23.71;13.82
18/12/2023 21:00;25.53;12.3
18/12/2023 22:00;19.63;10.11
18/12/2023 23:00;14.68;6.99
19/12/2023 0:00;11.51;5.48
19/12/2023 1:00;10.56;5.77
19/12/2023 2:00;11.36;5.98
19/12/2023 3:00;11.97;6.79
19/12/2023 4:00;11.95;7.47
19/12/2023 5:00;11.44;7.37
19/12/2023 6:00;14.91;8.45
19/12/2023 7:00;15.99;8.39
19/12/2023 8:00;21.91;12.14
19/12/2023 9:00;20.87;12.22
19/12/2023 10:00;22.48;12.12
19/12/2023 11:00;14.61;7.68
19/12/2023 12:00;18.61;10.23
19/12/2023 13:00;14.54;8.16
19/12/2023 14:00;9.6;5.36
19/12/2023 15:00;11.67;6.46
19/12/2023 16:00;13.08;6.47
19/12/2023 18:00;12.19;6.61
19/12/2023 19:00;10.69;6.23
19/12/2023 20:00;16.91;7.94
19/12/2023 21:00;12.29;7.47
19/12/2023 22:00;12.06;6.28
19/12/2023 23:00;11.21;5.12
20/12/2023 0:00;12.77;5.38
20/12/2023 1:00;14.02;8.01
20/12/2023 2:00;10.86;6.1
20/12/2023 3:00;12.81;7.65
20/12/2023 4:00;12.4;7.13
20/12/2023 5:00;7.11;3.72
20/12/2023 6:00;16.02;5.79
20/12/2023 7:00;25.42;8.74
20/12/2023 8:00;31.47;11.54
20/12/2023 9:00;23.93;11.89
20/12/2023 10:00;18.43;8.54
20/12/2023 11:00;8.89;3.93
20/12/2023 12:00;10.48;4.59
20/12/2023 13:00;10.02;4.7
20/12/2023 14:00;8.41;4.45
20/12/2023 15:00;8.05;3.94
20/12/2023 16:00;8.64;4.06
20/12/2023 17:00;10.3;5.13
20/12/2023 18:00;12.64;5.11
20/12/2023 19:00;11.65;5.03
20/12/2023 20:00;21.08;8.8
20/12/2023 21:00;14.34;6.2
20/12/2023 22:00;23.45;9.38
20/12/2023 23:00;26.06;10.64
